area,package,file,language,symbol,kind,exported,async,component,line,referencesKnown,notes,refactorCandidate
.editorconfig,1wallet,.editorconfig,text,,file,no,no,no,1,imports:0,13 lines,
.env.example,1wallet,.env.example,example,,file,no,no,no,1,imports:0,16 lines,
.gitignore,1wallet,.gitignore,text,,file,no,no,no,1,imports:0,57 lines,
.npmrc,1wallet,.npmrc,text,,file,no,no,no,1,imports:0,3 lines,
.prettierrc,1wallet,.prettierrc,text,,file,no,no,no,1,imports:0,9 lines,
apps/mobile,@1wallet/mobile,apps/mobile/.eslintrc.json,json,,file,no,no,no,1,imports:0,27 lines,
apps/mobile,@1wallet/mobile,apps/mobile/.gitignore,text,,file,no,no,no,1,imports:0,6 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/.gitignore,text,,file,no,no,no,1,imports:0,17 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/build.gradle,gradle,,file,no,no,no,1,imports:0,249 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/debug.keystore,binary,,file,no,no,no,1,imports:0,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/proguard-rules.pro,pro,,file,no,no,no,1,imports:0,40 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/debug/AndroidManifest.xml,xml,,file,no,no,no,1,imports:0,8 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/AndroidManifest.xml,xml,,file,no,no,no,1,imports:0,62 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/assets/fonts/Roboto-Bold.ttf,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/assets/fonts/Roboto-Medium.ttf,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/assets/fonts/Roboto-Regular.ttf,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/assets/fonts/RobotoMono-Medium.ttf,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/assets/fonts/RobotoMono-Regular.ttf,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainActivity.kt,kotlin,,file,yes,no,no,1,native-entrypoint:android,123 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainActivity.kt,kotlin,MainActivity,class,yes,no,no,16,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainActivity.kt,kotlin,installDrawerGestureExclusion,function,no,no,no,70,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainActivity.kt,kotlin,preferHighRefreshRate,function,no,no,no,86,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainActivity.kt,kotlin,highestRefreshMode,function,no,no,no,100,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainApplication.kt,kotlin,,file,yes,no,no,1,native-entrypoint:android,46 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/MainApplication.kt,kotlin,MainApplication,class,yes,no,no,17,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,,file,yes,no,no,1,native-entrypoint:android,87 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,OneWalletBackLayerModule,class,yes,no,no,14,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,setEnabled,function,yes,no,no,28,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,addListener,function,yes,no,no,34,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,removeListeners,function,yes,no,no,37,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,updateRegistration,function,no,no,no,51,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletBackLayer.kt,kotlin,unregisterCallback,function,no,no,no,78,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletSmsCapture.kt,kotlin,,file,yes,no,no,1,native-entrypoint:android,48 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletSmsCapture.kt,kotlin,OneWalletSmsReceiver,class,yes,no,no,11,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletSmsCapture.kt,kotlin,OneWalletSmsHeadlessService,class,yes,no,no,37,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,,file,yes,no,no,1,native-entrypoint:android,172 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,OneWalletWidgetStore,object,yes,no,no,36,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,load,function,yes,no,no,37,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,save,function,yes,no,no,49,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,OneWalletWidgetUpdater,object,yes,no,no,62,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,updateAll,function,yes,no,no,63,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,updateSummary,function,yes,no,no,77,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,updateActions,function,yes,no,no,93,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,pendingIntent,function,no,no,no,110,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,OneWalletSummaryWidgetProvider,class,yes,no,no,124,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,OneWalletActionsWidgetProvider,class,yes,no,no,134,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,OneWalletWidgetModule,class,yes,no,no,144,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,update,function,yes,no,no,149,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/java/com/joelpjoji/one/wallet/OneWalletWidgets.kt,kotlin,OneWalletWidgetPackage,class,yes,no,no,164,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable-hdpi/splashscreen_image.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable-mdpi/splashscreen_image.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable-nodpi/splashscreen_backdrop.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable-xhdpi/splashscreen_image.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable-xxhdpi/splashscreen_image.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable-xxxhdpi/splashscreen_image.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable/onewallet_widget_action_background.xml,xml,,file,no,no,no,1,imports:0,6 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable/onewallet_widget_background.xml,xml,,file,no,no,no,1,imports:0,7 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable/rn_edit_text_material.xml,xml,,file,no,no,no,1,imports:0,38 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/drawable/splashscreen.xml,xml,,file,no,no,no,1,imports:0,10 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/layout/onewallet_widget_actions.xml,xml,,file,no,no,no,1,imports:0,85 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/layout/onewallet_widget_summary.xml,xml,,file,no,no,no,1,imports:0,93 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,xml,,file,no,no,no,1,imports:0,5 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,xml,,file,no,no,no,1,imports:0,5 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,asset,,file,yes,no,no,1,asset,,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/values-night/colors.xml,xml,,file,no,no,no,1,imports:0,5 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/values/colors.xml,xml,,file,no,no,no,1,imports:0,7 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/values/strings.xml,xml,,file,no,no,no,1,imports:0,7 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/values/styles.xml,xml,,file,no,no,no,1,imports:0,29 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/xml/onewallet_actions_widget.xml,xml,,file,no,no,no,1,imports:0,9 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/app/src/main/res/xml/onewallet_summary_widget.xml,xml,,file,no,no,no,1,imports:0,9 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/build.gradle,gradle,,file,no,no,no,1,imports:0,89 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/gradle.properties,properties,,file,no,no,no,1,imports:0,62 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/gradle/wrapper/gradle-wrapper.jar,binary,,file,no,no,no,1,imports:0,,
apps/mobile,@1wallet/mobile,apps/mobile/android/gradle/wrapper/gradle-wrapper.properties,properties,,file,no,no,no,1,imports:0,8 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/gradlew,text,,file,no,no,no,1,imports:0,250 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/gradlew.bat,bat,,file,no,no,no,1,imports:0,96 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/react-settings-plugin/build.gradle.kts,kotlin,,file,no,no,no,1,imports:0,20 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/react-settings-plugin/src/main/kotlin/expo/plugins/ReactSettingsPlugin.kt,kotlin,,file,no,no,no,1,imports:0,11 lines,
apps/mobile,@1wallet/mobile,apps/mobile/android/react-settings-plugin/src/main/kotlin/expo/plugins/ReactSettingsPlugin.kt,kotlin,ReactSettingsPlugin,class,yes,no,no,6,,,
apps/mobile,@1wallet/mobile,apps/mobile/android/settings.gradle,gradle,,file,no,no,no,1,imports:0,42 lines,
apps/mobile,@1wallet/mobile,apps/mobile/app.json,json,,file,no,no,no,1,imports:0,73 lines,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,,file,yes,no,yes,1,framework-entrypoint:expo-router,418 lines,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,StartupStage,type,no,no,no,52,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,RootLayout,function,yes,no,yes,71,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,ThemedNavigation,function,no,no,yes,93,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,useStartupSequence,function,no,no,no,247,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,NativeNotificationSync,function,no,no,yes,262,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,LedgerPersistenceLifecycle,function,no,no,yes,291,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,AndroidHomeWidgetSync,function,no,no,yes,337,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,AppErrorBoundary,class,no,no,yes,373,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,AppErrorBoundary.getDerivedStateFromError,method,no,no,no,382,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,AppErrorBoundary.componentDidCatch,method,no,no,no,386,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/_layout.tsx,tsx,AppErrorBoundary.render,method,no,no,no,390,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,,file,yes,no,yes,1,framework-entrypoint:expo-router,500 lines,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,TabIconName,type,no,no,no,24,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,TabConfig,type,no,no,no,25,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,TabsLayout,function,yes,no,yes,51,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,BottomPagerBar,function,no,no,yes,85,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,handleIslandLayout,const-function,no,no,no,165,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,onPress,const-function,no,no,no,242,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,onLongPress,const-function,no,no,no,254,,,
apps/mobile,@1wallet/mobile,apps/mobile/app/(tabs)/_layout.tsx,tsx,BottomPagerTabButton,function,no,no,yes,278,,,
